label,count
教育局,1440
警察局,1218
工務局,1093
社會局,996
建築管理工程處,995
衛生局,964
都市發展局,963
體育局,845
文化局,681
交通局,655
產業發展局,623
研究發展考核委員會,582
環境保護局,546
新建工程處,523
民政局,512
臺北大眾捷運股份有限公司,511
觀光傳播局,485
消防局,476
秘書處,466
勞動局,447
資訊局,443
財政局,404
市場處,381
公共運輸處,365
動物保護處,351
捷運工程局,351
人事處,338
法務局,317
交通管制工程處,317
停車管理工程處,309
地政局,298
都市更新處,248
主計處,238
臺北自來水事業處,225
政風處,221
都市計畫委員會,209
原住民族事務委員會,199
客家事務委員會,187
青年局,186
公務人員訓練處,181
臺北翡翠水庫管理局,169
兵役局,168
商業處,161
地政事務所,113
殯葬管理處,112
家庭暴力暨性侵害防治中心,98
區公所,82
環保稽查大隊,50
市政大樓公共事務管理中心,44
稅捐稽徵處,42
動物園,32
交通事件裁決所,26
美術館,25
藝文推廣處,18
圖書館,16
其他,15
動產質借處,14
陽明教養院,6
勞動檢查處,6
戶政事務所,6
天文科學教育館,5
交響樂團,5
勞動力重建運用處,5
工程總隊,5
臺北廣播電臺,5
就業服務處,5
職能發展學院,4
浩然敬老院,4
孔廟管理委員會,4
文獻館,3
中山堂管理所,2
教師研習中心,1
聯合醫院,1
